City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Dalbandin,PK,28.8947,64.4101,91.13,14,2,10.51,clear sky
104,Masvingo,ZW,-20.0637,30.8277,60.71,47,0,4.54,clear sky
105,Hobart,AU,-42.8794,147.3294,44.06,90,86,4.61,overcast clouds
106,Kapaa,US,22.0752,-159.319,81.12,73,20,16.11,few clouds
107,Ahuimanu,US,21.4447,-157.8378,85.71,70,20,16.11,few clouds
108,Pevek,RU,69.7008,170.3133,36.66,92,88,6.17,overcast clouds
109,Santa Rosa,PH,14.3122,121.1114,80.58,88,96,1.66,overcast clouds
110,Ventspils,LV,57.3894,21.5606,64.33,94,0,4.61,clear sky
111,Itoman,JP,26.1247,127.6694,82.42,89,100,6.91,overcast clouds
112,Bandarbeyla,SO,9.4942,50.8122,76.39,80,100,28.72,overcast clouds
113,Narsaq,GL,60.9167,-46.05,59.22,76,12,4.76,few clouds
114,Tiksi,RU,71.6872,128.8694,40.28,97,100,12.39,overcast clouds
115,Caravelas,BR,-17.7125,-39.2481,74.48,71,100,10.76,overcast clouds
116,Nadym,RU,65.5333,72.5167,61.36,55,100,11.74,overcast clouds
117,Bolshaya Rechka,RU,51.9503,104.7355,55.67,95,11,3.8,few clouds
118,Guarapari,BR,-20.6667,-40.4975,74.89,54,100,15.03,overcast clouds
119,Butaritari,KI,3.0707,172.7902,81.86,74,99,12.19,overcast clouds
120,Aklavik,CA,68.2191,-135.0107,62.6,59,20,5.75,few clouds
121,Otradnaya,RU,44.3933,41.5206,67.55,80,84,5.06,broken clouds
122,San Quintin,MX,30.4833,-115.95,77.38,68,100,10.27,overcast clouds
123,Mandan,US,46.8267,-100.8896,84.36,73,0,14.97,clear sky
124,Sukhumi,GE,43.0033,41.0153,74.03,90,20,4.9,few clouds
125,Prince Rupert,CA,54.3161,-130.3201,62.69,82,100,2.3,overcast clouds
126,Lagoa,PT,39.05,-27.9833,73.85,81,100,13.67,overcast clouds
127,Fortuna,US,40.5982,-124.1573,68.94,83,100,8.05,overcast clouds
128,Rundu,NA,-17.9333,19.7667,62.98,11,3,5.26,clear sky
129,Isangel,VU,-19.55,169.2667,69.19,63,6,14.81,clear sky
130,Sept-Iles,CA,50.2001,-66.3821,67.05,82,40,10.36,scattered clouds
131,Cidreira,BR,-30.1811,-50.2056,61.41,78,2,6.93,clear sky
132,Mayumba,GA,-3.432,10.6554,70.23,89,99,5.28,overcast clouds
133,Payo,ID,-3.7508,103.6372,74.07,91,72,1.86,broken clouds
134,Pontes E Lacerda,BR,-15.2261,-59.3353,83.03,21,0,5.57,clear sky
135,San Felipe,VE,10.3399,-68.7425,90.39,45,28,6.69,scattered clouds
136,Padang,ID,-0.9492,100.3543,79.03,89,92,3.11,overcast clouds
137,Saskylakh,RU,71.9167,114.0833,42.87,71,100,6.8,overcast clouds
138,Amuntai,ID,-2.4177,115.2494,72.73,93,100,1.43,overcast clouds
139,Belaya Gora,RU,68.5333,146.4167,56.26,72,71,14.63,broken clouds
140,Kushima,JP,31.4583,131.2333,77.94,93,93,6.11,overcast clouds
141,Solana Beach,US,32.9912,-117.2711,101.32,57,0,9.22,clear sky
142,Nikolskoye,RU,59.7035,30.7861,67.89,68,100,7.52,overcast clouds
143,Chicama,PE,-7.8447,-79.1469,63.14,59,13,9.44,few clouds
144,Colac,AU,-38.3333,143.5833,49.84,95,100,2.82,overcast clouds
145,Turukhansk,RU,65.8167,87.9833,43.72,86,5,6.4,clear sky
146,Touros,BR,-5.1989,-35.4608,78.4,78,23,12.24,few clouds
147,Lebu,CL,-37.6167,-73.65,52.5,80,100,3.96,overcast clouds
148,Coahuayana,MX,18.7333,-103.6833,89.73,61,100,7.52,overcast clouds
149,Leningradskiy,RU,69.3833,178.4167,47.37,80,97,2.3,overcast clouds
150,Egvekinot,RU,66.3167,-179.1667,47.5,93,100,5.08,overcast clouds
151,Dunedin,NZ,-45.8742,170.5036,36.81,78,3,1.99,clear sky
152,Vuktyl,RU,63.8567,57.3094,50.77,90,5,6.33,clear sky
153,Abu Zabad,SD,12.35,29.25,70.07,84,99,11.34,overcast clouds
154,Port Alfred,ZA,-33.5906,26.891,62.82,83,99,7.45,overcast clouds
155,Preobrazheniye,RU,42.9019,133.9064,66.58,82,46,7.09,scattered clouds
156,Georgetown,MY,5.4112,100.3354,82.89,86,20,2.3,few clouds
157,Vila Do Maio,CV,15.1333,-23.2167,84.99,80,78,14.81,broken clouds
158,Mukhen,RU,48.1,136.1,59.09,96,92,3.65,overcast clouds
159,Saint-Francois,FR,46.4154,3.9054,83.64,26,0,4.61,clear sky
160,Kodiak,US,57.79,-152.4072,56.71,88,100,6.91,mist
161,Ixtapa,MX,20.7,-105.2,90.23,62,75,9.22,broken clouds
162,Khatanga,RU,71.9667,102.5,44.11,66,100,6.26,overcast clouds
163,Dikson,RU,73.5069,80.5464,44.49,94,99,20.38,overcast clouds
164,Solnechnyy,RU,50.7214,136.6319,52.12,98,98,4.21,overcast clouds
165,Parakou,BJ,9.3372,2.6303,73.51,91,100,4.41,moderate rain
166,Qaqortoq,GL,60.7167,-46.0333,46.56,87,34,3.71,scattered clouds
167,Itarema,BR,-2.9248,-39.9167,80.29,75,88,16.55,overcast clouds
168,Souillac,MU,-20.5167,57.5167,68.38,64,20,13.8,few clouds
169,Cockburn Town,TC,21.4612,-71.1419,81.9,75,11,16.28,few clouds
170,Puerto Madryn,AR,-42.7692,-65.0385,60.01,36,4,9.98,clear sky
171,Tilichiki,RU,60.4667,166.1,52.97,91,100,4.32,overcast clouds
172,Katsuura,JP,35.1333,140.3,80.89,85,55,21.83,broken clouds
173,Abu Samrah,SY,35.3029,37.1841,75.65,69,0,12.26,clear sky
174,Henties Bay,NA,-22.116,14.2845,54.91,89,0,7.2,clear sky
175,Shingu,JP,33.7333,135.9833,78.04,92,100,1.7,overcast clouds
176,Ntchisi,MW,-13.5278,33.9149,57.61,48,0,1.66,clear sky
177,Caledon,ZA,-34.23,19.4265,52.07,89,99,5.21,overcast clouds
178,Aranos,NA,-24.1333,19.1167,69.49,9,73,3.89,broken clouds
179,Biak,ID,-0.9131,122.8766,76.17,85,97,1.12,overcast clouds
180,Saldanha,ZA,-33.0117,17.9442,55.45,87,100,9.91,overcast clouds
181,Slave Lake,CA,55.2834,-114.769,71.58,73,0,9.22,clear sky
182,Acapulco,MX,16.8634,-99.8901,85.82,66,100,5.75,overcast clouds
183,Chornukhy,UA,50.2673,32.942,68.65,84,100,8.84,overcast clouds
184,Lebowakgomo,ZA,-24.2,29.5,61.7,39,0,6.35,clear sky
185,Severo-Kurilsk,RU,50.6789,156.125,55.99,96,95,13.2,overcast clouds
